Data,Year

112.31505505114289,1930-08-01
112.31587291162381,1933-04-01
112.31664475940512,1934-06-01
112.31737077145759,1934-12-01
112.31805112475202,1935-04-01
112.31868599625916,1935-11-01
112.3192755629498,1938-04-01
112.31982000179471,1938-06-01
112.32031948976467,1939-03-01
112.32077420383047,1939-06-01
112.32118432096287,1940-06-01
112.32155001813264,1941-04-01
112.32187147231058,1942-06-01
112.32214886046745,1944-04-01
112.32238235957402,1946-07-01
112.32257214660109,1946-09-01
112.32271839851941,1948-06-01
112.32282129229978,1949-08-01
112.32288100491296,1950-03-01
112.32289771332974,1950-06-01
112.32287159452088,1950-08-01
112.32280282545716,1951-05-01
112.32269158310937,1951-07-01
112.32253804444828,1952-04-01
112.32234238644467,1952-06-01
112.3221047860693,1953-02-01
112.32182542029297,1955-09-01
112.32150446608644,1955-12-01
112.32114210042049,1957-12-01
112.32073850026589,1958-01-01
112.32029384259343,1958-06-01
112.31980830437388,1959-03-01
112.31928206257803,1961-01-01
112.31871529417663,1961-10-01
112.31810817614047,1961-12-01
112.31746088544033,1962-08-01
112.31677359904698,1962-12-01
112.3160464939312,1963-10-01
112.31527974706377,1964-05-01
112.31447353541546,1965-04-01
112.31362803595704,1966-12-01
112.3127434256593,1968-04-01
112.31181988149302,1969-09-01
112.31085758042897,1970-04-01
112.30985669943793,1970-07-01
112.30881741549065,1971-06-01
112.30773990555795,1972-06-01
112.30662434661058,1973-05-01
112.30547091561931,1974-05-01
112.30427978955494,1974-06-01
112.30305114538822,1976-06-01
112.30178516008995,1977-02-01
112.3004820106309,1977-09-01
112.29914187398184,1931-04-01
112.29776492711356,1934-01-01
112.29635134699681,1934-03-01
112.2949013106024,1934-07-01
112.29341499490107,1935-01-01
112.29189257686363,1936-01-01
112.29033423346084,1936-02-01
112.28874014166348,1937-09-01
112.28711047844233,1937-11-01
112.28544542076816,1940-01-01
112.28374514561175,1940-08-01
112.28200982994387,1941-07-01
112.28023965073531,1941-09-01
112.27843478495683,1944-11-01
112.27659540957922,1945-05-01
112.27472170157324,1947-03-01
112.2728138379097,1947-08-01
112.27087199555933,1948-01-01
112.26889635149296,1948-05-01
112.26688708268131,1950-04-01
112.26484436609519,1951-04-01
112.26276837870539,1951-09-01
112.26065929748265,1953-01-01
112.25851729939777,1953-03-01
112.2563425614215,1953-04-01
112.25413526052466,1954-07-01
112.251895573678,1956-09-01
112.24962367785228,1957-04-01
112.24731975001832,1958-04-01
112.24498396714687,1960-08-01
112.2426165062087,1960-10-01
112.2402175441746,1962-01-01
112.23778725801535,1962-06-01
112.2353258247017,1963-03-01
112.23283342120446,1963-04-01
112.23031022449437,1963-11-01
112.22775641154226,1963-12-01
112.22517215931886,1964-04-01
112.22255764479496,1964-12-01
112.21991304494134,1966-03-01
112.21723853672877,1969-04-01
112.21453429712803,1969-08-01
112.2118005031099,1970-06-01
112.20903733164516,1970-09-01
112.20624495970458,1970-11-01
112.20342356425893,1971-01-01
112.20057332227898,1972-02-01
112.19769441073555,1973-09-01
