Data,Year

2.964945559772945,1960-01-02
2.964920500158242,1960-01-04
2.9648954501595592,1960-01-31
2.9648704097760503,1960-02-03
2.964845379006869,1960-02-06
2.9648203578511696,1960-02-15
2.9647953463081067,1960-03-18
2.9647703443768343,1960-03-26
2.964745352056507,1960-03-29
2.964720369346278,1960-05-17
2.9646953962453013,1960-05-21
2.9646704327527322,1960-05-24
2.9646454788677246,1960-06-02
2.9646205345894323,1960-06-11
2.9645955999170095,1960-06-13
2.96457067484961,1960-06-25
2.9645457593863886,1960-07-05
2.9645208535264995,1960-07-28
2.9644959572690963,1960-08-12
2.9644710706133335,1960-08-29
2.9644461935583655,1960-08-30
2.964421326103346,1960-08-31
2.964396468247429,1960-09-23
2.964371619989769,1960-10-03
2.9643467813295206,1960-10-04
2.9643219522658373,1960-11-07
2.9642971327978733,1960-11-11
2.964272322924783,1960-11-16
2.9642475226457203,1960-11-22
2.9642227319598398,1960-11-24
2.9641979508662955,1960-11-29
2.964173179364241,1960-12-06
2.964148417452831,1960-12-09
2.9641236651312197,1961-01-18
2.9640989223985614,1961-02-05
2.9640741892540095,1961-02-08
2.9640494656967187,1961-02-10
2.9640247517258436,1961-02-13
2.9640000473405372,1961-03-10
2.9639753525399546,1961-03-15
2.9639506673232496,1961-03-21
2.9639259916895764,1961-03-27
2.9639013256380893,1961-04-09
2.9638766691679423,1961-04-10
2.9638520222782896,1961-05-05
2.9638273849682855,1961-05-24
2.963802757237084,1961-05-29
2.9637781390838387,1961-06-10
2.963753530507705,1961-06-21
2.9637289315078363,1961-06-23
2.9637043420833864,1961-06-24
2.9636797622335105,1961-07-02
2.9636551919573617,1961-07-08
2.963630631254095,1961-07-11
2.963606080122864,1961-07-14
2.9635815385628232,1961-07-25
2.9635570065731263,1961-07-30
2.963532484152928,1961-08-24
2.9635079713013823,1961-08-29
2.963483468017643,1961-09-03
2.9634589743008646,1961-09-26
2.963434490150201,1961-09-27
2.9634100155648073,1961-10-19
2.9633855505438365,1961-11-01
2.963361095086443,1961-11-04
2.963336649191781,1961-11-10
2.9633122128590053,1961-11-11
2.9632877860872693,1961-12-07
2.9632633688757273,1961-12-13
2.9632389612235333,1962-01-05
2.963214563129842,1962-01-11
2.9631901745938074,1962-02-04
2.9631657956145836,1962-02-05
2.9631414261913247,1962-02-23
2.9631170663231847,1962-03-17
2.9630927160093177,1962-03-24
2.9630683752488784,1962-04-01
2.9630440440410206,1962-04-06
2.963019722384898,1962-05-21
2.962995410279666,1962-05-25
