Data,Year

11.724528912427523,1960-01-17
11.72447825309817,1960-02-02
11.72442762195183,1960-02-07
11.724377018985933,1960-02-09
11.724326444197905,1960-02-16
11.724275897585173,1960-03-20
11.724225379145164,1960-04-01
11.724174888875305,1960-04-09
11.724124426773024,1960-04-13
11.724073992835747,1960-05-21
11.724023587060902,1960-05-23
11.723973209445914,1960-06-10
11.723922859988212,1960-07-07
11.723872538685223,1960-07-16
11.723822245534373,1960-07-23
11.723771980533089,1960-07-26
11.7237217436788,1960-08-06
11.72367153496893,1960-08-09
11.72362135440091,1960-09-07
11.723571201972163,1960-09-26
11.72352107768012,1960-09-30
11.723470981522203,1960-10-20
11.723420913495843,1960-11-04
11.723370873598467,1960-12-11
11.723320861827501,1960-12-12
11.723270878180372,1961-01-28
11.723220922654507,1961-02-10
11.723170995247333,1961-02-15
11.723121095956278,1961-02-23
11.723071224778767,1961-03-12
11.723021381712229,1961-03-17
11.722971566754092,1961-03-29
11.72292177990178,1961-04-01
11.722872021152721,1961-04-05
11.722822290504345,1961-04-18
11.722772587954074,1961-04-28
11.72272291349934,1961-05-25
11.722673267137566,1961-06-02
11.72262364886618,1961-06-04
11.722574058682612,1961-06-11
11.722524496584287,1961-06-13
11.722474962568631,1961-06-16
11.722425456633072,1961-06-21
11.722375978775037,1961-07-08
11.722326528991955,1961-07-13
11.722277107281249,1961-07-16
11.722227713640349,1961-09-01
11.72217834806668,1961-09-03
11.722129010557673,1961-09-06
11.72207970111075,1961-09-13
11.722030419723342,1961-09-15
11.721981166392876,1961-09-25
11.721931941116775,1961-09-29
11.721882743892468,1961-10-04
11.721833574717385,1961-10-05
11.72178443358895,1961-11-12
11.72173532050459,1961-11-25
11.721686235461734,1961-12-08
11.721637178457808,1961-12-13
11.721588149490238,1961-12-16
11.721539148556452,1961-12-18
11.721490175653877,1961-12-21
11.721441230779941,1962-01-02
11.72139231393207,1962-01-05
11.72134342510769,1962-01-07
11.72129456430423,1962-01-09
11.721245731519117,1962-02-08
11.721196926749776,1962-02-14
11.721148149993637,1962-02-15
11.721099401248123,1962-02-19
11.721050680510666,1962-03-02
11.72100198777869,1962-03-20
11.720953323049622,1962-03-24
11.72090468632089,1962-03-26
11.720856077589922,1962-04-01
11.720807496854142,1962-05-01
11.72075894411098,1962-05-14
11.72071041935786,1962-05-23
11.720661922592214,1962-06-04
11.720613453811465,1962-06-16
11.72056501301304,1962-06-17
11.720516600194367,1962-07-11
11.720468215352874,1962-07-14
11.720419858485988,1962-07-22
11.720371529591134,1962-08-25
11.720323228665741,1962-08-28
11.720274955707234,1962-08-30
11.720226710713042,1962-09-27
11.720178493680592,1962-10-04
11.720130304607311,1962-10-16
11.720082143490625,1962-11-10
11.720034010327963,1962-11-28
11.719985905116749,1963-01-11
11.719937827854412,1963-01-13
11.719889778538379,1963-01-22
11.719841757166076,1963-01-23
11.719793763734932,1963-02-28
11.719745798242373,1963-03-04
11.719697860685827,1963-04-07
11.719649951062719,1963-04-17
11.719602069370476,1963-04-18
11.719554215606527,1963-04-24
11.719506389768299,1963-05-04
11.719458591853218,1963-05-08
11.71941082185871,1963-05-09
11.719363079782205,1963-05-13
11.719315365621128,1963-06-30
11.719267679372907,1963-07-21
11.719220021034968,1963-08-06
11.719172390604738,1963-08-21
11.719124788079647,1963-08-24
11.719077213457117,1963-08-29
11.71902966673458,1963-09-14
11.718982147909458,1963-09-29
11.718934656979183,1963-10-07
11.71888719394118,1963-10-13
11.718839758792875,1963-11-11
11.718792351531697,1963-11-27
11.71874497215507,1963-12-03
11.718697620660425,1963-12-10
11.718650297045187,1963-12-15
11.718603001306784,1963-12-28
11.71855573344264,1964-01-09
11.718508493450187,1964-01-14
11.718461281326848,1964-01-15
11.71841409707005,1964-01-20
11.718366940677225,1964-01-21
11.718319812145793,1964-02-05
11.718272711473187,1964-02-18
11.71822563865683,1964-03-10
11.718178593694153,1964-03-20
11.71813157658258,1964-04-22
11.718084587319538,1964-04-26
11.718037625902456,1964-05-12
11.717990692328758,1964-05-14
11.717943786595875,1964-05-19
11.717896908701231,1964-05-23
11.717850058642254,1964-05-24
11.717803236416373,1964-06-12
11.717756442021011,1964-06-27
11.717709675453598,1964-07-04
11.71766293671156,1964-07-14
11.717616225792325,1964-07-24
11.717569542693319,1964-08-01
11.717522887411969,1964-08-08
11.717476259945704,1964-08-16
11.717429660291948,1964-08-21
11.71738308844813,1964-09-11
11.717336544411678,1964-09-13
11.717290028180017,1964-10-12
11.717243539750573,1964-10-21
11.717197079120776,1964-11-23
11.717150646288053,1964-11-30
11.71710424124983,1964-12-02
11.717057864003532,1964-12-17
11.71701151454659,1964-12-23
11.716965192876428,1965-01-03
11.716918898990475,1965-01-11
11.716872632886156,1965-01-31
11.7168263945609,1965-02-03
11.716780184012134,1965-02-20
11.716734001237283,1965-03-09
11.716687846233777,1965-03-20
11.71664171899904,1965-04-06
11.716595619530501,1965-04-20
11.716549547825588,1965-04-21
11.716503503881725,1965-05-06
11.71645748769634,1965-05-17
11.716411499266863,1965-05-22
11.716365538590718,1965-05-27
11.716319605665332,1965-07-08
11.716273700488134,1965-08-10
11.716227823056549,1965-08-14
11.716181973368005,1965-08-20
11.71613615141993,1965-08-24
11.71609035720975,1965-08-27
11.71604459073489,1965-09-11
11.715998851992783,1965-09-15
11.715953140980849,1965-09-24
11.71590745769652,1965-10-04
11.715861802137221,1965-12-04
11.71581617430038,1965-12-09
11.715770574183423,1965-12-23
11.715725001783778,1965-12-27
11.71567945709887,1965-12-29
11.715633940126128,1966-01-04
11.715588450862981,1966-01-16
11.715542989306853,1966-01-26
11.715497555455169,1966-02-05
11.715452149305362,1966-02-12
11.715406770854855,1966-03-29
11.715361420101075,1966-04-15
11.715316097041452,1966-04-22
11.715270801673409,1966-05-11
11.715225533994376,1966-05-22
11.71518029400178,1966-05-25
11.715135081693045,1966-06-27
11.715089897065603,1966-06-29
11.715044740116877,1966-07-04
11.714999610844295,1966-07-08
11.714954509245285,1966-07-12
11.714909435317274,1966-07-19
11.714864389057688,1966-07-20
11.714819370463955,1966-08-23
11.7147743795335,1966-08-30
11.714729416263754,1966-09-02
11.71468448065214,1966-09-15
11.714639572696088,1966-09-22
11.714594692393023,1966-10-05
11.714549839740375,1966-11-07
11.714505014735566,1966-11-14
11.714460217376027,1966-11-25
11.714415447659185,1966-11-28
11.714370705582466,1966-11-29
11.714325991143298,1966-12-25
11.714281304339105,1967-01-12
11.714236645167318,1967-02-10
11.714192013625361,1967-03-05
11.714147409710664,1967-03-10
11.714102833420652,1967-03-17
11.714058284752753,1967-03-20
11.714013763704392,1967-03-21
11.713969270272997,1967-03-29
11.713924804455997,1967-04-09
11.71388036625082,1967-04-18
11.713835955654888,1967-05-05
11.713791572665631,1967-05-07
11.713747217280476,1967-05-18
11.713702889496851,1967-05-26
11.71365858931218,1967-06-09
11.713614316723893,1967-06-16
11.713570071729418,1967-06-18
11.713525854326178,1967-07-20
11.713481664511603,1967-07-31
11.713437502283119,1967-08-09
11.713393367638153,1967-08-12
11.713349260574132,1967-08-22
11.713305181088485,1967-09-04
11.713261129178637,1967-09-06
11.713217104842014,1967-10-24
11.713173108076045,1967-10-29
11.713129138878159,1967-11-07
11.713085197245778,1967-11-13
11.713041283176333,1967-12-12
11.71299739666725,1967-12-17
11.712953537715956,1967-12-28
11.712909706319877,1968-01-11
11.712865902476441,1968-01-27
11.712822126183076,1968-02-04
11.712778377437207,1968-02-13
11.712734656236261,1968-02-15
11.71269096257767,1968-03-13
11.712647296458853,1968-03-18
11.712603657877244,1968-03-24
11.712560046830266,1968-04-02
11.712516463315348,1968-04-05
11.712472907329916,1968-04-12
11.712429378871398,1968-04-22
11.71238587793722,1968-04-25
11.71234240452481,1968-04-27
11.712298958631594,1968-04-28
11.712255540255,1968-05-17
11.712212149392455,1968-05-25
11.712168786041387,1968-06-05
11.71212545019922,1968-06-25
11.712082141863384,1968-07-22
11.712038861031305,1968-07-23
11.711995607700409,1968-07-24
11.711952381868123,1968-07-26
11.711909183531878,1968-07-31
11.711866012689097,1968-09-04
11.711822869337208,1968-09-16
11.711779753473637,1968-09-26
11.711736665095815,1968-09-28
11.711693604201164,1968-10-01
11.711650570787116,1968-10-06
11.711607564851093,1968-10-16
11.711564586390526,1968-10-24
11.71152163540284,1968-11-11
11.711478711885464,1968-12-23
11.711435815835822,1969-01-08
11.711392947251342,1969-02-07
11.711350106129455,1969-02-09
11.711307292467582,1969-02-16
11.711264506263154,1969-03-07
11.711221747513598,1969-03-10
11.711179016216338,1969-03-29
11.711136312368804,1969-05-05
11.711093635968423,1969-05-09
11.71105098701262,1969-06-03
11.711008365498824,1969-06-07
11.71096577142446,1969-06-11
11.710923204786956,1969-06-12
11.710880665583742,1969-06-19
11.71083815381224,1969-06-27
11.710795669469881,1969-06-28
11.71075321255409,1969-07-05
11.710710783062295,1969-07-12
11.710668380991923,1969-07-27
11.7106260063404,1969-08-19
11.710583659105154,1969-08-22
11.710541339283612,1969-09-10
11.7104990468732,1969-09-12
11.710456781871347,1969-09-28
11.710414544275478,1969-10-16
11.710372334083022,1969-11-02
11.710330151291405,1969-11-29
11.710287995898053,1970-01-14
11.710245867900396,1970-01-15
11.710203767295859,1970-01-18
11.710161694081867,1970-01-19
11.710119648255851,1970-01-23
11.710077629815236,1970-02-02
11.71003563875745,1970-03-02
11.70999367507992,1970-03-26
11.709951738780072,1970-03-30
11.709909829855333,1970-04-30
11.709867948303131,1970-05-12
11.709826094120894,1970-05-30
11.709784267306047,1970-06-15
11.709742467856017,1970-06-18
11.709700695768232,1970-06-25
11.70965895104012,1970-07-02
11.709617233669107,1970-07-14
11.709575543652619,1970-07-19
11.709533880988085,1970-07-20
11.70949224567293,1970-07-26
11.709450637704583,1970-07-31
11.70940905708047,1970-08-22
11.709367503798019,1970-08-24
11.709325977854656,1970-09-03
11.709284479247808,1970-09-12
11.709243007974901,1970-09-13
11.709201564033366,1970-10-02
11.709160147420627,1970-10-24
11.709118758134112,1970-11-01
11.709077396171248,1970-11-15
11.70903606152946,1970-11-26
11.708994754206177,1970-12-06
11.708953474198827,1970-12-20
11.708912221504836,1971-01-01
11.70887099612163,1971-01-16
11.708829798046638,1971-01-24
11.708788627277285,1971-01-29
11.708747483810999,1971-02-10
11.708706367645208,1971-02-12
11.708665278777339,1971-02-23
11.708624217204816,1971-02-24
11.70858318292507,1971-03-01
11.708542175935527,1971-03-14
11.708501196233613,1971-04-20
11.708460243816754,1971-04-24
11.70841931868238,1971-04-30
11.708378420827916,1971-05-07
11.70833755025079,1971-05-25
11.708296706948428,1971-06-02
11.708255890918258,1971-06-14
11.708215102157707,1971-06-26
11.7081743406642,1971-06-30
11.708133606435169,1971-07-06
11.708092899468037,1971-07-13
11.708052219760232,1971-07-26
11.70801156730918,1971-07-27
11.70797094211231,1971-08-30
11.707930344167048,1971-09-01
11.707889773470821,1971-09-06
11.707849230021058,1971-09-10
11.707808713815181,1971-09-20
11.707768224850623,1971-10-03
11.707727763124808,1971-10-07
11.707687328635163,1971-10-17
11.707646921379116,1971-11-20
11.707606541354094,1971-12-26
11.707566188557523,1972-01-05
11.70752586298683,1972-02-03
11.707485564639445,1972-02-08
11.70744529351279,1972-02-13
11.707405049604297,1972-03-16
11.70736483291139,1972-03-28
11.707324643431496,1972-04-08
11.707284481162045,1972-04-10
11.707244346100461,1972-04-15
11.707204238244172,1972-05-29
11.707164157590606,1972-06-02
11.70712410413719,1972-06-05
11.707084077881348,1972-06-26
11.70704407882051,1972-07-05
11.707004106952104,1972-07-06
11.706964162273554,1972-07-08
11.70692424478229,1972-07-23
11.706884354475735,1972-07-31
11.70684449135132,1972-08-05
11.70680465540647,1972-08-09
11.706764846638615,1972-08-14
11.706725065045177,1972-08-19
11.706685310623588,1972-10-02
11.706645583371271,1972-11-13
11.706605883285656,1972-11-16
11.70656621036417,1972-12-13
11.706526564604237,1972-12-14
11.706486946003286,1972-12-17
11.706447354558746,1972-12-22
11.706407790268042,1972-12-24
11.7063682531286,1973-01-04
11.706328743137847,1973-01-09
11.706289260293214,1973-01-27
11.706249804592124,1973-02-07
11.706210376032008,1973-02-13
11.706170974610288,1973-02-17
11.706131600324394,1973-03-18
11.706092253171752,1973-03-21
11.706052933149792,1973-03-27
11.706013640255936,1973-03-31
11.705974374487615,1973-04-04
11.705935135842255,1973-04-07
11.705895924317282,1973-05-06
11.705856739910125,1973-05-09
11.70581758261821,1973-05-27
11.705778452438963,1973-06-02
11.705739349369814,1973-06-05
11.705700273408187,1973-06-24
11.705661224551509,1973-06-26
11.70562220279721,1973-07-25
11.705583208142714,1973-07-26
11.705544240585452,1973-07-27
11.705505300122846,1973-09-25
11.705466386752326,1973-09-26
11.705427500471318,1973-10-04
11.705388641277251,1973-10-15
11.705349809167549,1973-10-19
11.705311004139642,1973-10-20
11.705272226190955,1973-12-10
11.705233475318916,1973-12-14
11.705194751520953,1973-12-16
11.70515605479449,1973-12-17
11.705117385136957,1973-12-22
11.70507874254578,1973-12-23
11.705040127018385,1973-12-27
11.705001538552201,1974-01-03
11.704962977144653,1974-01-09
11.704924442793171,1974-01-16
11.704885935495179,1974-01-17
11.704847455248107,1974-01-26
11.704809002049378,1974-01-29
11.704770575896424,1974-03-12
11.704732176786667,1974-03-13
11.704693804717538,1974-03-15
11.704655459686462,1974-04-11
11.704617141690868,1974-04-23
11.704578850728181,1974-04-27
11.704540586795828,1974-05-20
11.704502349891238,1974-06-08
11.704464140011835,1974-06-25
11.704425957155049,1974-06-27
11.704387801318306,1974-07-12
11.704349672499033,1974-07-29
11.704311570694657,1974-08-10
11.704273495902605,1974-08-11
11.704235448120304,1974-08-21
11.704197427345182,1974-08-27
11.704159433574665,1974-09-08
11.70412146680618,1974-09-20
11.704083527037156,1974-10-24
11.704045614265016,1974-10-28
11.704007728487191,1974-11-03
11.703969869701107,1974-11-04
11.703932037904188,1974-11-06
11.703894233093866,1974-11-13
11.703856455267566,1974-12-09
11.703818704422714,1974-12-12
11.703780980556736,1974-12-14
11.703743283667064,1975-01-12
11.70370561375112,1975-01-13
11.703667970806334,1975-01-16
11.70363035483013,1975-01-27
11.70359276581994,1975-01-31
11.703555203773186,1975-02-07
11.703517668687299,1975-03-01
11.703480160559703,1975-03-12
11.703442679387825,1975-04-09
11.703405225169096,1975-04-11
11.703367797900938,1975-04-22
11.703330397580782,1975-04-24
11.703293024206054,1975-04-25
11.703255677774179,1975-06-02
11.703218358282587,1975-06-03
11.703181065728703,1975-06-10
11.703143800109954,1975-06-13
11.70310656142377,1975-06-19
11.703069349667572,1975-07-08
11.703032164838795,1975-07-11
11.70299500693486,1975-07-22
11.702957875953196,1975-08-05
11.70292077189123,1975-08-07
11.70288369474639,1975-08-12
11.7028466445161,1975-08-13
11.702809621197792,1975-08-16
11.702772624788889,1975-08-22
11.70273565528682,1975-09-09
11.702698712689008,1975-09-14
11.702661796992887,1975-09-22
11.70262490819588,1975-09-24
11.702588046295414,1975-09-26
11.702551211288915,1975-10-04
11.702514403173813,1975-10-11
11.702477621947535,1975-10-22
11.702440867607505,1975-10-28
11.702404140151152,1975-10-31
11.702367439575903,1975-11-08
11.702330765879186,1975-11-11
11.702294119058426,1975-12-20
11.70225749911105,1975-12-26
11.702220906034489,1976-01-03
11.702184339826164,1976-01-25
11.702147800483507,1976-01-26
11.702111288003943,1976-02-06
11.702074802384898,1976-02-07
11.702038343623801,1976-02-16
11.702001911718078,1976-02-22
11.701965506665157,1976-03-02
11.701929128462465,1976-03-25
11.701892777107428,1976-04-08
11.701856452597474,1976-04-10
11.70182015493003,1976-04-12
11.70178388410252,1976-05-06
11.701747640112377,1976-05-10
11.701711422957022,1976-05-27
11.701675232633887,1976-06-26
11.701639069140397,1976-07-29
11.701602932473977,1976-08-08
11.701566822632058,1976-08-21
11.701530739612064,1976-08-23
11.701494683411422,1976-08-26
11.701458654027562,1976-09-23
11.701422651457909,1976-09-27
11.70138667569989,1976-10-01
11.701350726750933,1976-10-18
11.701314804608463,1976-10-27
11.70127890926991,1976-11-11
11.701243040732697,1976-11-18
11.701207198994256,1976-11-22
11.70117138405201,1976-11-28
11.70113559590339,1976-11-30
11.701099834545818,1976-12-01
11.701064099976724,1976-12-11
11.701028392193537,1977-01-11
11.70099271119368,1977-01-25
11.700957056974582,1977-01-30
11.70092142953367,1977-02-04
11.700885828868373,1977-02-12
11.700850254976114,1977-03-05
11.700814707854322,1977-03-14
11.700779187500425,1977-04-08
11.70074369391185,1977-04-09
11.700708227086022,1977-04-29
11.70067278702037,1977-05-03
11.70063737371232,1977-05-07
11.700601987159299,1977-05-25
11.700566627358734,1977-06-10
