Year,Data
2017-01-01,51.196271
2018-01-01,66.278131
2019-01-01,63.640538
2020-01-01,55.330067
2021-01-01,69.320096
2022-01-01,53.560837
2023-01-01,53.903167
2024-01-01,52.621808
2025-01-01,64.872684
2026-01-01,61.581163
2027-01-01,68.069251
2028-01-01,63.737085
2029-01-01,62.841239
2030-01-01,75.584682
2031-01-01,57.844589
2032-01-01,55.440782
2033-01-01,71.728044
2034-01-01,66.142712
2035-01-01,53.685564
2036-01-01,51.419630
2037-01-01,71.547107
2038-01-01,69.568353
2039-01-01,62.600580
2040-01-01,68.770549
2041-01-01,63.344433
2042-01-01,77.427509
2043-01-01,68.339339
2044-01-01,62.551722
2045-01-01,77.522944
2046-01-01,66.109171
2047-01-01,60.984591
2048-01-01,59.282700
2049-01-01,74.897828
2050-01-01,72.167016
2051-01-01,72.907839
2052-01-01,73.061343
2053-01-01,70.230529
2054-01-01,83.546156
2055-01-01,69.501471
2056-01-01,65.652371
2057-01-01,81.377527
2058-01-01,73.302752
2059-01-01,63.977489
2060-01-01,61.952469
2061-01-01,80.152632
2062-01-01,77.852659
2063-01-01,74.177381
2064-01-01,77.777598
2065-01-01,73.459987
2066-01-01,87.215271
