Year,Data
2017-01-01,9.945828
2018-01-01,12.037424
2019-01-01,11.558637
2020-01-01,8.505076
2021-01-01,7.543579
2022-01-01,6.523945
2023-01-01,10.093633
2024-01-01,9.974072
2025-01-01,8.464104
2026-01-01,13.523892
2027-01-01,11.934211
2028-01-01,11.484034
2029-01-01,10.437559
2030-01-01,13.502373
2031-01-01,11.737857
2032-01-01,10.241504
2033-01-01,8.240442
2034-01-01,7.740786
2035-01-01,9.490059
2036-01-01,12.491257
2037-01-01,11.241355
2038-01-01,14.740760
2039-01-01,15.491653
2040-01-01,13.741157
2041-01-01,13.200721
2042-01-01,15.769228
2043-01-01,14.660389
2044-01-01,12.369915
2045-01-01,10.898994
2046-01-01,10.134168
2047-01-01,12.811788
2048-01-01,14.221510
2049-01-01,12.838983
2050-01-01,17.134128
2051-01-01,16.691411
2052-01-01,15.604032
2053-01-01,14.805534
2054-01-01,17.627140
2055-01-01,16.183928
2056-01-01,14.298428
2057-01-01,12.557155
2058-01-01,11.927555
2059-01-01,14.131751
2060-01-01,16.353070
2061-01-01,15.038177
2062-01-01,18.927523
2063-01-01,19.093505
2064-01-01,17.667959
2065-01-01,17.001064
2066-01-01,19.693598
